appliance,category,subcategory,household,dwelling,tenure,purpose,mode,fuel,units 1,units 2,units 3,units 4
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-cavity-6+,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-1,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-2,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-3,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-4,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-5,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-semi-solid-6+,*,water-heating,*,water-heating-gas,1225,1225,1225,1225
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-1,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-2,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-3,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-4,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-5,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-cavity-6+,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-1,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-2,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-3,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
gas-standard-boiler-F,heating,gas-boiler-sub,household,house-mid-solid-4,*,water-heating,*,water-heating-gas,1183,1183,1183,1183
